andy,true,2000,0,true,1,
two,true,2000,0,true,1,
three,true,2000,0,true,1,
four,true,2000,0,true,1,
Go,false,0,0,0,null,false,
Mediterranean Avenue,true,60,0,0,1,false,
Community Chest,false,0,0,0,community,false,
Baltic Avenue,true,60,0,0,1,false,
Income Tax,false,200,0,0,tax,false,
Reading Railroad,true,200,0,0,station,false,
Oriental Avenue,true,100,0,0,2,false,
Chance,false,0,0,0,chance,false,
Vermont Avenue,true,100,0,0,2,false,
Connecticut Avenue,true,120,0,0,2,false,
Jail,false,0,0,0,null,false,
St. Charles Place,true,140,0,0,3,false,
Electric Company,true,150,0,0,utility,false,
States Avenue,true,140,0,0,3,false,
Virginia Avenue,true,160,0,0,3,false,
Pennsylvania Railroad,true,200,0,0,station,false,
St. James Place,true,180,0,0,4,false,
Community Chest,false,0,0,0,community,false,
Tennessee,true,180,0,0,4,false,
New York Avenue,true,200,0,0,4,false,
Free Parking,false,0,0,0,null,false,
Kentucky Avenue,true,220,0,0,5,false,
Chance,false,0,0,0,chance,false,
Indiana Avenue,true,220,0,0,5,false,
Illinois Avenue,true,240,0,0,5,false,
B & O Railroad,true,200,0,0,station,false,
Atlantic Avenue,true,260,0,0,6,false,
Ventnor Avenue,true,260,0,0,6,false,
Water Works,true,150,0,0,utility,false,
Marvin Gardens,true,280,0,0,6,false,
Go To Jail,false,0,0,0,jail,false,
Pacific Avenue,true,300,0,0,7,false,
North Carolina Avenue,true,300,0,0,7,false,
Community Chest,false,0,0,0,community,false,
Pennsylvania Avenue,true,320,0,0,7,false,
Short Line,true,200,0,0,station,false,
Chance,false,0,0,0,chance,false,
Park Place,true,350,0,0,8,false,
Super Tax,false,100,0,0,tax,false,
Boardwalk,true,400,0,0,8,false,
